Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2019-09-23T13:59:00Z,NKE,86.91332988,-1,Market,Filled,-86.91332988, 
2019-09-23T14:09:14Z,NKE,86.91332988,-1,Market,Filled,-86.91332988, 
2019-09-23T14:09:14Z,AAPL,216.584742906,1,Market,Filled,216.584742906, 
2019-09-23T14:19:00Z,NKE,86.972859558,-1,Market,Filled,-86.972859558, 
2019-09-23T17:25:23Z,NKE,87.032389236,1,Market,Filled,87.032389236, 
2019-09-23T18:17:17Z,NKE,86.863721815,1,Market,Filled,86.863721815, 
2019-09-23T18:47:00Z,NKE,86.784348911,1,Market,Filled,86.784348911, 
2019-09-23T19:56:00Z,NKE,86.91332988,-1,Market,Filled,-86.91332988, 
2019-09-23T20:00:00Z,NKE,87.50862666,-1,Market On Open,Filled,-87.50862666, 
2019-09-24T13:32:45Z,NKE,87.439175369,2,Market,Filled,174.878350738, 
2019-09-24T13:34:36Z,AAPL,219.084484374,-1,Market,Filled,-219.084484374, 
2019-09-24T13:47:43Z,NKE,87.320116013,1,Market,Filled,87.320116013, 
2019-09-24T13:50:34Z,NKE,87.3101944,1,Market,Filled,87.3101944, 
2019-09-24T13:54:00Z,NKE,87.429253756,-1,Market,Filled,-87.429253756, 
2019-09-24T15:58:21Z,NKE,86.61568149,-1,Market,Filled,-86.61568149, 
2019-09-24T16:54:00Z,NKE,86.268425035,-1,Market,Filled,-86.268425035, 
2019-09-24T17:40:00Z,NKE,86.11960084,1,Market,Filled,86.11960084, 
2019-09-24T19:19:38Z,NKE,86.456935682,-1,Market,Filled,-86.456935682, 
2019-09-24T19:58:50Z,NKE,86.675211168,-1,Market,Filled,-86.675211168, 
2019-09-25T13:31:14Z,NKE,91.497115086,-15,Market,Filled,-1372.45672629, 
2019-09-25T13:31:14Z,AAPL,217.566784197,7,Market,Filled,1522.967489379, 
2019-09-25T13:33:00Z,NKE,91.943587671,-1,Market,Filled,-91.943587671, 
2019-09-25T13:37:00Z,NKE,91.169701857,1,Market,Filled,91.169701857, 
2019-09-25T13:44:41Z,NKE,90.911739919,1,Market,Filled,90.911739919, 
2019-09-25T13:48:00Z,NKE,91.060564114,-1,Market,Filled,-91.060564114, 
2019-09-25T13:51:00Z,NKE,91.258996374,-1,Market,Filled,-91.258996374, 
2019-09-25T14:07:03Z,NKE,91.199466696,1,Market,Filled,91.199466696, 
2019-09-25T14:16:23Z,NKE,90.891896693,1,Market,Filled,90.891896693, 
2019-09-25T14:32:25Z,NKE,91.556644764,-1,Market,Filled,-91.556644764, 
2019-09-25T14:46:59Z,NKE,91.070485727,1,Market,Filled,91.070485727, 
2019-09-25T15:07:00Z,NKE,90.951426371,1,Market,Filled,90.951426371, 
2019-09-25T15:21:05Z,AAPL,218.370272526,-1,Market,Filled,-218.370272526, 
2019-09-25T15:27:48Z,NKE,90.703386046,1,Market,Filled,90.703386046, 
2019-09-25T16:04:00Z,NKE,90.693464433,1,Market,Filled,90.693464433, 
2019-09-25T16:22:33Z,AAPL,218.776976495,-1,Market,Filled,-218.776976495, 
2019-09-25T16:22:33Z,NKE,90.475188947,1,Market,Filled,90.475188947, 
2019-09-25T16:38:00Z,NKE,90.18746217,1,Market,Filled,90.18746217, 
2019-09-25T17:01:48Z,NKE,89.69138152,1,Market,Filled,89.69138152, 
2019-09-25T17:08:00Z,AAPL,218.241317609,-1,Market,Filled,-218.241317609, 
2019-09-25T17:27:26Z,NKE,90.177540557,-1,Market,Filled,-90.177540557, 
2019-09-25T17:28:39Z,NKE,90.246991848,-1,Market,Filled,-90.246991848, 
2019-09-25T17:30:44Z,AAPL,218.261156827,1,Market,Filled,218.261156827, 
2019-09-25T18:57:00Z,NKE,90.157697331,1,Market,Filled,90.157697331, 
2019-09-25T19:28:00Z,AAPL,219.12416281,-1,Market,Filled,-219.12416281, 
2019-09-25T19:28:00Z,NKE,89.959265071,1,Market,Filled,89.959265071, 
2019-09-25T19:36:00Z,NKE,89.681459907,1,Market,Filled,89.681459907, 
2019-09-26T12:42:48Z,AAPL,218.062764647,-260,Market On Open,Filled,-56696.31880822, 
2019-09-26T12:42:48Z,NKE,90.961347984,632,Market On Open,Filled,57487.571925888, 
2019-09-26T13:31:00Z,NKE,91.020877662,-9,Market,Filled,-819.187898958, 
2019-09-27T16:47:56Z,NKE,91.546723151,-628,Market,Filled,-57491.342138828, 
2019-09-27T16:47:56Z,AAPL,217.348552799,264,Market,Filled,57380.017938936, 
2019-09-27T17:48:40Z,NKE,91.328447665,-1,Market,Filled,-91.328447665, 
2019-09-30T13:31:00Z,NKE,92.112255092,1,Market,Filled,92.112255092, 
2019-09-30T15:03:54Z,NKE,92.509119612,1,Market,Filled,92.509119612, 
2019-09-30T16:04:12Z,NKE,92.479354773,1,Market,Filled,92.479354773, 
2019-09-30T18:23:00Z,NKE,93.005200262,-1,Market,Filled,-93.005200262, 
2019-10-01T13:50:00Z,AAPL,225.849657712,-1,Market,Filled,-225.849657712, 
2019-10-01T13:50:00Z,NKE,93.342535104,4,Market,Filled,373.370140416, 
2019-10-01T13:51:00Z,AAPL,226.137326373,-1,Market,Filled,-226.137326373, 
2019-10-01T13:59:53Z,NKE,92.806768002,2,Market,Filled,185.613536004, 
2019-10-01T15:13:00Z,AAPL,224.649385023,-1,Market,Filled,-224.649385023, 
2019-10-01T15:32:00Z,NKE,92.261079287,1,Market,Filled,92.261079287, 
2019-10-01T16:05:00Z,NKE,92.112255092,-1,Market,Filled,-92.112255092, 
2019-10-01T18:22:01Z,NKE,91.457428634,1,Market,Filled,91.457428634, 
